Company;SECTOR;MARKETCAP;EBITDA;EBIT;VE/EBITDA_T12M;MarkCap/BookValue;NetIncome;EV/SALES;FCF;INVENTORIES;TOTASSETS;PAYABLES_ACCRUALS;LS_DEBT;CAPITALSTOCK;InterestExpense;ROE;ROA;ROIC;CAPITALEXPEND;PROFMARGIN;LIABILITIES;REVENUE
Mattel Inc.;Consumer Discretionary;9220.2516;806.349;540.922;12.9337;3.5015;369.416;1.8414;480.376;587.521;6535.143;1325.114;2101.635;14.995;85.27;13.3491;5.5731;11.8079;-254.181;6.478;3901.889;5702.613
Nordstrom;Consumer Discretionary;9158.4634;1677;1101;6.2602;3.7535;600;0.7431;1388;1945;7698;1740;2805;-1102;125;36.2428;7.0826;23.619;-1082;4.156;6827;14437
LKQ Corporation;Consumer Discretionary;9051.6006;832.819;704.627;12.6665;2.9061;423.223;1.467;373.792;1556.552;5647.837;625.234;1584.702;0.587;57.86;14.5055;7.6095;14.7618;-170.49;5.8841;2533.155;7192.633
Foot Locker Inc;Consumer Discretionary;8934.3663;985;837;8.582;3.5795;541;1.1283;563;1285;3775;699;130;-359;11;21.43;14.7171;33.6145;-228;7.299;1222;7412
Goodyear Tire & Rubber;Consumer Discretionary;8785.229;2249;1551;5.8867;2.2411;307;0.8014;704;2464;16391;3435;5708;-127;438;8.1541;1.7831;18.6284;-983;1.8671;12249;16443
Harley-Davidson;Consumer Discretionary;8708.531;1353.769;1155.695;10.8771;4.7338;752.207;2.4021;840.144;585.907;9972.977;707.238;6872.198;-1513.373;12.117;31.6789;7.7145;13.521;-259.974;12.5464;8133.323;5995.402
Hasbro Inc.;Consumer Discretionary;8394.6424;847.26;691.933;10.8228;5.0452;451.838;2.0717;429.344;384.492;4720.717;899.04;1711.678;-43.902;97.122;28.8754;9.7665;20.4492;-142.022;10.1593;3016.645;4447.509
Darden Restaurants;Consumer Discretionary;8154.7626;912.4;622.2;13.4167;3.4946;375;1.2705;549.7;175.4;4582.6;426.1;568;-68;173.6;17.5009;7.0907;19.068;-228.3;5.4085;2630.6;6933.5
Garmin Ltd.;Consumer Discretionary;7075.012;627.941;549.581;7.4583;2.115;456.227;1.6397;199.875;500.554;4499.391;701.016;0;-121.975;0;13.5209;9.9259;15.8983;-80.592;16.1767;1154.265;2820.27
Pulte Homes Inc.;Consumer Discretionary;6221.6239;879.608;833.386;8.8788;1.3072;494.09;1.3056;-383.03;5450.058;9189.406;1894.168;2342.382;-432.203;0.788;10.265;5.5644;11.93;-45.44;8.2597;4430.081;5981.964
